accuracy,efficiency,k,distance,policy,weighting,fold
0.75,0.007544517517089844,5,2-norm,inverse,mutual_info,credita-7
0.75,0.007307767868041992,5,2-norm,sheppard,mutual_info,credita-7
0.7536231884057971,0.006665945053100586,3,chebyshev,sheppard,uniform,credita-4
0.7536231884057971,0.0067784786224365234,7,chebyshev,majority,uniform,credita-4
0.7536231884057971,0.006753444671630859,3,chebyshev,majority,uniform,credita-4
0.7536231884057971,0.007578134536743164,3,2-norm,majority,uniform,credita-2
0.7536231884057971,0.0073070526123046875,3,2-norm,sheppard,uniform,credita-2
0.7536231884057971,0.006943941116333008,3,chebyshev,inverse,uniform,credita-2
0.7536231884057971,0.007246971130371094,7,1-norm,sheppard,uniform,credita-2
0.7571428571428571,0.00668025016784668,3,chebyshev,sheppard,uniform,credita-3
0.7571428571428571,0.0071065425872802734,7,chebyshev,inverse,uniform,credita-1
0.7571428571428571,0.006411075592041016,1,chebyshev,sheppard,uniform,credita-3
0.7571428571428571,0.006873607635498047,7,chebyshev,sheppard,uniform,credita-1
0.7571428571428571,0.006676435470581055,1,chebyshev,inverse,uniform,credita-3
0.7571428571428571,0.006773710250854492,1,chebyshev,majority,uniform,credita-3
0.7605633802816901,0.006983518600463867,3,chebyshev,sheppard,uniform,credita-0
0.7647058823529411,0.007360935211181641,7,2-norm,sheppard,uniform,credita-7
0.7647058823529411,0.007035732269287109,3,1-norm,sheppard,uniform,credita-7
0.7647058823529411,0.007322788238525391,7,2-norm,sheppard,mutual_info,credita-7
0.7647058823529411,0.0073359012603759766,7,chebyshev,majority,mutual_info,credita-7
0.7647058823529411,0.00731348991394043,7,chebyshev,inverse,mutual_info,credita-7
0.7647058823529411,0.007287740707397461,5,chebyshev,inverse,relief,credita-7
0.7647058823529411,0.007418632507324219,7,1-norm,inverse,relief,credita-7
0.7647058823529411,0.007387399673461914,5,chebyshev,inverse,mutual_info,credita-7
0.7647058823529411,0.0073604583740234375,3,chebyshev,majority,mutual_info,credita-7
0.7647058823529411,0.0071070194244384766,3,chebyshev,sheppard,mutual_info,credita-7
0.7647058823529411,0.007613658905029297,7,2-norm,inverse,uniform,credita-7
0.7647058823529411,0.00713038444519043,7,chebyshev,sheppard,mutual_info,credita-7
0.7647058823529411,0.00748753547668457,3,2-norm,inverse,uniform,credita-7
0.7647058823529411,0.007489442825317383,7,2-norm,majority,mutual_info,credita-7
0.7681159420289855,0.0074405670166015625,1,1-norm,inverse,relief,credita-2
0.7681159420289855,0.007698774337768555,1,1-norm,majority,relief,credita-2
0.7681159420289855,0.007039308547973633,1,1-norm,sheppard,relief,credita-2
0.7681159420289855,0.007585287094116211,5,2-norm,majority,relief,credita-2
0.7681159420289855,0.007353782653808594,5,2-norm,sheppard,relief,credita-2
0.7681159420289855,0.0069828033447265625,7,chebyshev,inverse,uniform,credita-2
0.7681159420289855,0.007438182830810547,7,1-norm,majority,relief,credita-2
0.7681159420289855,0.007509469985961914,7,2-norm,majority,relief,credita-2
0.7681159420289855,0.007383108139038086,7,2-norm,sheppard,relief,credita-2
0.7681159420289855,0.00722813606262207,5,1-norm,sheppard,uniform,credita-2
0.7681159420289855,0.007387876510620117,3,1-norm,majority,uniform,credita-2
0.7681159420289855,0.007575511932373047,3,2-norm,inverse,uniform,credita-2
0.7681159420289855,0.006615161895751953,1,chebyshev,inverse,uniform,credita-2
0.7681159420289855,0.006872653961181641,1,chebyshev,majority,uniform,credita-2
0.7681159420289855,0.0074388980865478516,1,2-norm,sheppard,uniform,credita-2
0.7681159420289855,0.007454633712768555,1,2-norm,inverse,uniform,credita-2
0.7681159420289855,0.007491588592529297,1,2-norm,majority,uniform,credita-2
0.7681159420289855,0.006937503814697266,1,1-norm,sheppard,uniform,credita-2
0.7681159420289855,0.007426023483276367,1,1-norm,inverse,uniform,credita-2
0.7681159420289855,0.0076863765716552734,1,1-norm,majority,uniform,credita-2
0.7681159420289855,0.0063364505767822266,1,chebyshev,sheppard,uniform,credita-2
0.7714285714285715,0.00766301155090332,1,1-norm,inverse,uniform,credita-1
0.7714285714285715,0.006901264190673828,3,chebyshev,inverse,uniform,credita-3
0.7714285714285715,0.006857633590698242,7,chebyshev,majority,uniform,credita-1
0.7714285714285715,0.007219791412353516,1,1-norm,sheppard,uniform,credita-1
0.7714285714285715,0.008139848709106445,1,1-norm,majority,uniform,credita-1
0.7746478873239436,0.008713722229003906,1,1-norm,majority,uniform,credita-0
0.7746478873239436,0.0069921016693115234,5,chebyshev,sheppard,uniform,credita-0
0.7746478873239436,0.007190704345703125,3,chebyshev,inverse,uniform,credita-0
0.7746478873239436,0.008157730102539062,1,1-norm,inverse,uniform,credita-0
0.7746478873239436,0.0075457096099853516,1,1-norm,sheppard,uniform,credita-0
0.7794117647058824,0.007334709167480469,5,2-norm,sheppard,uniform,credita-7
0.7794117647058824,0.007382392883300781,3,chebyshev,inverse,mutual_info,credita-7
0.7794117647058824,0.007211208343505859,7,1-norm,sheppard,uniform,credita-7
0.7794117647058824,0.007028341293334961,1,1-norm,sheppard,relief,credita-8
0.7794117647058824,0.007379293441772461,5,1-norm,inverse,uniform,credita-7
0.7794117647058824,0.007297515869140625,1,chebyshev,majority,relief,credita-8
0.7794117647058824,0.00745391845703125,3,2-norm,inverse,mutual_info,credita-8
0.7794117647058824,0.007398843765258789,7,1-norm,inverse,relief,credita-8
0.7794117647058824,0.007309913635253906,3,chebyshev,majority,relief,credita-7
0.7794117647058824,0.006829261779785156,1,chebyshev,sheppard,relief,credita-8
0.7794117647058824,0.007048368453979492,1,1-norm,sheppard,mutual_info,credita-8
0.7794117647058824,0.00730586051940918,1,1-norm,inverse,mutual_info,credita-8
0.7794117647058824,0.0077266693115234375,1,1-norm,majority,mutual_info,credita-8
0.7794117647058824,0.0074231624603271484,3,2-norm,majority,relief,credita-7
0.7794117647058824,0.007442951202392578,5,1-norm,inverse,relief,credita-8
0.7794117647058824,0.0070476531982421875,1,chebyshev,inverse,relief,credita-8
0.7794117647058824,0.00752711296081543,1,1-norm,majority,relief,credita-8
0.7794117647058824,0.007225751876831055,1,1-norm,inverse,relief,credita-8
0.7794117647058824,0.007256031036376953,3,1-norm,majority,uniform,credita-7
0.7794117647058824,0.007242679595947266,3,2-norm,sheppard,relief,credita-7
0.7794117647058824,0.006957054138183594,3,chebyshev,sheppard,relief,credita-7
