k,p,v,w,accuracy,accuracy_sk,time_pp,time_test
1,inf,max,chi2,0.8483496044556171,0.10924734684941084,0.20511395931243898,1.1166062831878663
1,inf,max,relieff,0.8265877159946571,0.10986629741182503,0.1944119930267334,1.0799229860305786
1,inf,invd,uniform,0.8780158453233907,0.10986629741182503,0.18887739181518554,1.0626442909240723
1,inf,invd,mutual_info,0.8708715085466014,0.10986629741182503,0.28052325248718263,1.3513260364532471
1,inf,invd,chi2,0.8483496044556171,0.10924734684941084,0.3405400991439819,1.7264447450637816
1,inf,invd,relieff,0.8265877159946571,0.10986629741182503,0.1850137710571289,1.0269187927246093
1,inf,sheppard,uniform,0.8780158453233907,0.10986629741182503,0.1832866668701172,1.0300431728363038
1,inf,sheppard,mutual_info,0.8721176077052919,0.10986629741182503,0.1821763515472412,1.0172645330429078
1,inf,sheppard,chi2,0.8483496044556171,0.10924734684941084,0.18379850387573243,1.0207871913909912
1,inf,sheppard,relieff,0.8265877159946571,0.10986629741182503,0.1837604284286499,1.0259541749954224
3,1,max,uniform,0.9134440676472378,0.9134440676472378,0.18575606346130372,1.4556676864624023
3,1,max,mutual_info,0.9078522828802006,0.9078522828802006,0.18211638927459717,1.4418739318847655
3,1,max,chi2,0.9030352389008913,0.9030352389008913,0.1831810712814331,1.445079493522644
3,1,max,relieff,0.9033414427401227,0.9033414427401227,0.18217706680297852,1.438417673110962
3,1,invd,uniform,0.9137553518754711,0.9134440676472378,0.18268201351165772,1.4394821882247926
3,1,invd,mutual_info,0.9084787092497288,0.9094084640581694,0.18218867778778075,1.4333398818969727
3,1,invd,chi2,0.9019494853543939,0.9030352389008913,0.18391761779785157,1.4302206754684448
3,1,invd,relieff,0.9048954527170195,0.9033414427401227,0.18649804592132568,1.4458461046218871
3,1,sheppard,uniform,0.9135998308801367,0.9134440676472378,0.18235082626342775,1.4433736085891724
3,1,sheppard,mutual_info,0.907079260282823,0.9078532518513882,0.18296339511871337,1.4380683660507203
3,1,sheppard,chi2,0.9021047663586248,0.9030352389008913,0.1841963052749634,1.4350405931472778
3,1,sheppard,relieff,0.9048954527170195,0.9033414427401227,0.1810607671737671,1.4448251008987427
3,2,max,uniform,0.9126770718896268,0.9126770718896268,0.1856466770172119,0.28707275390625
3,2,max,mutual_info,0.9038152573022465,0.9038152573022465,0.1843062162399292,0.2891350507736206
3,2,max,chi2,0.8932504163390771,0.8932504163390771,0.18482637405395508,0.28662154674530027
3,2,max,relieff,0.8909154122223484,0.8909154122223484,0.18578455448150635,0.2860504150390625
3,2,invd,uniform,0.9123677165969948,0.9126770718896268,0.18578670024871827,0.2834313869476318
3,2,invd,mutual_info,0.9052163952276032,0.9055245460438897,0.1847109317779541,0.28066368103027345
3,2,invd,chi2,0.8923192192956954,0.8932504163390771,0.1857255220413208,0.2825432300567627
3,2,invd,relieff,0.892624214221472,0.8909154122223484,0.18665010929107667,0.2842433452606201
3,2,sheppard,uniform,0.9123677165969948,0.9126770718896268,0.18423669338226317,0.28486630916595457
3,2,sheppard,mutual_info,0.9047503144842212,0.9045928645393323,0.1884826898574829,0.284542441368103
3,2,sheppard,chi2,0.8924742580553854,0.8932504163390771,0.18512613773345948,0.2841703176498413
3,2,sheppard,relieff,0.892624214221472,0.8909154122223484,0.192390775680542,0.2917498588562012
3,inf,max,uniform,0.887958600065738,0.10986629741182503,0.1846315860748291,1.024795150756836
3,inf,max,mutual_info,0.8836170235868851,0.10986629741182503,0.1834315538406372,1.0156335353851318
3,inf,max,chi2,0.8631053187728043,0.10924734684941084,0.18139832019805907,1.004062294960022
3,inf,max,relieff,0.8399355433129966,0.10986629741182503,0.17868356704711913,1.00832142829895
3,inf,invd,uniform,0.888424198587429,0.10986629741182503,0.18061349391937256,1.005366826057434
3,inf,invd,mutual_info,0.8847015726640134,0.10986629741182503,0.18192553520202637,0.9935476303100585
3,inf,invd,chi2,0.8631062877509683,0.10924734684941084,0.18312358856201172,0.9939394474029541
3,inf,invd,relieff,0.8399338588335145,0.10986629741182503,0.17937939167022704,1.003090739250183
3,inf,sheppard,uniform,0.888424198587429,0.10986629741182503,0.18120265007019043,1.0085452556610108
3,inf,sheppard,mutual_info,0.8831509406040187,0.10986629741182503,0.18038563728332518,1.0198203802108765
3,inf,sheppard,chi2,0.8631062877509683,0.10924734684941084,0.1918968677520752,1.0343768358230592
3,inf,sheppard,relieff,0.8399338588335145,0.10986629741182503,0.1800450325012207,1.0245293378829956
5,1,max,uniform,0.9128212636716604,0.9128212636716604,0.18574602603912355,41.36395561695099
5,1,max,mutual_info,0.907227556673522,0.907227556673522,122.417356133461,1.6382768392562865
