k,p,v,w,accuracy,accuracy_sk,time_pp,time_test
7,2,invd,uniform,0.9086282258629301,0.9070742181324943,0.21667888164520263,0.11143808364868164
7,2,invd,mutual_info,0.909405584088186,0.90785470978365,0.22311456203460694,0.11749069690704346
7,2,invd,chi2,0.9100264613536933,0.9084712424075292,0.22069177627563477,0.11764781475067139
7,2,sheppard,uniform,0.9081621451125714,0.9070742181324943,0.21760380268096924,0.1221111536026001
7,2,sheppard,mutual_info,0.909404861861438,0.9081633405891198,0.22061572074890137,0.12136971950531006
7,2,sheppard,chi2,0.9092486141324805,0.9084712424075292,0.21946675777435304,0.1182746410369873
7,inf,max,uniform,0.883298732294463,0.10986629741182503,0.20493407249450685,0.9805951356887818
7,inf,max,mutual_info,0.884857815914002,0.10986629741182503,0.207999324798584,0.9697513580322266
7,inf,max,chi2,0.8812781863309548,0.10924734684941084,0.20398895740509032,0.9715272665023804
7,inf,invd,uniform,0.8850118811746996,0.10986629741182503,0.20724797248840332,0.9859239816665649
7,inf,invd,mutual_info,0.8860964437654768,0.10986629741182503,0.20672900676727296,0.9911534309387207
7,inf,invd,chi2,0.8817474005002367,0.10924734684941084,0.20531458854675294,0.9755933284759521
7,inf,sheppard,uniform,0.8834576289462852,0.10986629741182503,0.20507462024688722,0.9849409103393555
7,inf,sheppard,mutual_info,0.8859418917483067,0.10986629741182503,0.20785369873046874,0.9907143354415894
7,inf,sheppard,chi2,0.8812808375142336,0.10924734684941084,0.20842366218566893,1.0011196613311768
